44	5	66	4	22.0227
77	63	79	57	6.32456
-56	73	-83	100	38.1838
32	40	44	5	37
-59	35	-85	-8	50.2494
-66	-71	-58	-55	17.8885
-28	54	-53	69	29.1548
6	65	30	85	31.241
44	5	5	10	39.3192
72	-39	69	-75	36.1248
5	10	-8	7	13.3417
45	-75	2	-74	43.0116
-53	69	-59	35	34.5254
-67	-100	-66	-71	29.0172
94	60	95	41	19.0263
79	57	94	60	15.2971
-53	69	-56	73	5
2	-74	17	-38	39
85	-18	72	-39	24.6982
30	85	67	88	37.1214
69	-75	53	-92	23.3452
-39	-91	-67	-100	29.4109
67	88	77	63	26.9258
91	3	85	-18	21.8403
6	65	-28	54	35.7351
2	-74	-39	-91	44.3847
66	4	91	3	25.02
53	-92	45	-75	18.7883
6	65	32	40	36.0694

