87	27
-18	27
-12	-52
54	-56
-87	-16
58	-27
2	-22
91	-52
-19	47
-40	-7
56	16
-13	76
-54	78
21	-49
-17	-39
-53	-30
97	-24
77	51
21	90
-66	-22
-37	36
57	-46
85	-62
-100	-56
31	57
61	-82
32	-94
96	-47
-42	-21
15	5
49	2
-67	46
78	-90
-4	-1
-100	31
78	-37
72	19
-25	-44
22	-93
-38	17
97	76
-75	46
-8	-45
-31	89
54	-31
19	31
33	86
-35	-50
-63	-63
69	33
40	-56
90	-39
-49	-48
79	12
73	76
-12	98
21	66
-44	-88
-80	25
-100	75
94	20
6	27
5	72
78	42
-92	46
-25	48
-91	-59
16	89
54	-12
64	-59
-14	-16
-3	-73
-33	-2
-98	-39
-83	9
-20	65
-36	-12
11	40
-64	1
43	20
-66	-4
-92	98
38	-6
-65	80
73	2
-23	75
64	-5
-83	64
16	-18
-48	-74
-79	-12
27	-75
34	-31
46	68
66	54
65	4
-53	-53
-52	-17
-74	-79
86	3
