49	96
32	44
-63	-13
26	-34
-26	-94
94	89
-73	75
-41	-4
72	-49
96	9
-69	-27
59	-14
-80	-1
-82	97
36	54
-10	-16
50	-79
-72	87
9	54
-48	84
60	-54
73	88
-79	-69
-17	93
-18	-22
1	13
52	-41
99	72
59	-84
68	-5
71	-43
80	20
-21	-93
7	89
62	60
72	22
-94	44
9	-73
-80	-43
-30	22
70	-79
82	68
94	40
85	61
-65	55
-82	-86
-25	-2
-78	82
-13	84
41	-41
5	47
-98	-87
75	78
-95	95
17	-96
-2	-2
72	-9
-48	-27
12	-29
70	10
-7	9
15	99
-44	18
-89	-69
-4	-83
-74	30
-6	43
34	92
-60	6
-37	36
52	75
-93	-61
61	77
50	29
-67	-58
-62	48
-60	-5
-34	-48
26	62
-30	53
-8	64
-5	-74
56	36
33	-61
75	67
71	82
-94	32
59	56
-39	92
98	-1
40	-62
95	-94
-9	21
68	62
-27	-40
26	69
-14	-19
4	-81
21	18
-85	-5
-23	-9
17	-64
-54	78
-73	-56
-23	68
-17	-28
36	-35
-99	-39
42	38
7	-38
58	41
8	-65
-69	-76
-29	-22
-99	-1
22	-21
-34	-96
51	-61
79	43
81	14
-92	82
75	-58
-30	17
81	77
80	-64
-1	38
78	-94
73	-91
-13	-67
43	-91
12	-92
-86	-37
-53	93
-94	-72
7	-85
-90	-18
-42	-20
99	-62
-43	79
-25	56
16	-48
63	-11
33	49
-16	72
65	-92
60	-28
-77	70
54	-19
-50	53
19	7
