58	88
-49	-15
76	-66
-47	-69
14	100
-39	24
37	38
2	-87
-57	3
49	43
-60	-96
-21	-14
30	-44
-10	-32
86	-46
6	43
-58	57
-73	-82
92	-20
-50	5
-21	11
-52	30
-70	-8
-67	80
-66	-27
84	14
59	13
70	-51
82	55
3	-13
-3	46
-56	25
64	-65
-96	-87
41	-16
24	69
0	73
-1	30
-35	32
9	-1
-96	-7
-88	64
-94	83
-87	88
37	16
-26	-66
-38	19
59	-75
55	64
-61	-5
-53	64
-37	48
37	63
-23	-99
-6	87
1	-1
-37	-14
-4	-24
93	48
-33	-46
-34	-75
-20	-80
89	20
15	-64
-16	79
84	-80
42	-40
-78	-64
35	27
-64	99
-88	32
-26	-15
65	-33
-67	-69
21	-1
-43	-99
20	-54
21	-65
-18	-95
-86	-35
-75	56
26	-53
92	73
71	27
0	-93
26	13
40	-100
99	4
-33	-69
36	89
30	94
90	-50
-61	11
-15	21
16	-1
86	42
-45	11
-16	60
75	84
67	0
-3	6
26	47
55	-44
40	45
6	79
-45	91
-10	-14
13	45
-39	67
-34	62
34	67
-44	45
34	83
-62	-70
-67	45
-91	-11
36	10
-40	-75
71	93
-25	63
-26	36
30	39
65	96
63	58
40	34
84	79
65	-83
23	74
6	-42
-17	66
-16	-21
39	-45
-29	-87
-83	45
50	48
-16	14
43	86
-88	5
-99	-17
90	86
-38	54
28	8
-57	-89
-26	27
-10	-87
82	62
-73	100
47	91
76	3
96	19
59	97
-98	48
82	-36
2	85
-52	-71
-7	-8
-60	67
-81	31
81	-100
-8	-93
-100	100
85	48
90	-25
-15	37
-70	-13
-15	-88
51	87
97	100
-84	-11
-9	-44
88	-64
11	-20
-56	12
-21	-72
-41	-31
-66	-18
31	19
-81	61
-94	5
73	57
-9	69
56	7
-42	-53
64	14
58	52
50	-32
-69	95
80	10
79	27
37	-87
-91	-33
33	-72
-73	39
33	-100
-4	-76
-54	-9
24	-22
-15	4
89	8
44	67
81	-57
48	14
-28	76
-48	-95
76	48
100	62
73	-2
-97	-22
82	-11
82	70
97	26
37	-69
-94	18
-25	54
29	-17
46	-79
35	-18
61	-12
-32	96
-44	-26
13	31
-73	44
-73	-68
-40	-42
-84	10
-11	62
31	-82
1	-28
-97	-39
60	-69
-97	-82
45	27
-58	73
-30	22
29	-3
56	71
-2	-55
-37	-3
-5	64
-75	29
-45	-85
-43	19
-15	86
14	87
72	-63
-77	-31
-92	-1
-31	-30
36	-28
-87	93
