14	-43	6	-58	17
-5	-36	-3	-21	15.1327
8	-70	16	-85	17
13	57	20	60	7.61577
73	54	100	71	31.9061
24	-35	14	-43	12.8062
39	22	43	-1	23.3452
-19	-66	-45	-92	36.7696
60	72	63	90	18.2483
6	-58	8	-70	12.1655
-94	-23	-71	-25	23.0868
-45	-92	-77	-95	32.1403
14	32	21	41	11.4018
-77	-95	-91	-85	17.2047
20	60	29	74	16.6433
6	-58	-19	-66	26.2488
-61	44	-84	79	41.8808
-1	24	14	32	17
75	-68	94	-67	19.0263
22	77	-8	94	34.4819
-91	-85	-96	-94	10.2956
-38	39	-50	47	14.4222
-3	-21	6	5	27.5136
65	-35	56	-32	9.48683
14	-43	-5	-36	20.2485
6	5	-1	24	20.2485
35	39	39	22	17.4642
56	-32	30	-40	27.2029
-38	29	-38	39	10
-8	94	-24	91	16.2788
21	41	13	57	17.8885
-61	44	-75	30	19.799
21	41	35	39	14.1421
-1	24	-38	29	37.3363
60	72	73	54	22.2036
29	74	22	77	7.61577
34	72	60	72	26
30	-40	24	-35	7.81025
-3	-21	-23	-20	20.025
29	74	34	72	5.38516
54	-75	44	-68	12.2066
43	-84	54	-75	14.2127
16	-85	43	-84	27.0185
54	-75	65	-82	13.0384
-94	10	-94	-23	33
65	-82	75	-68	17.2047
-75	30	-94	10	27.5862
65	-35	72	-32	7.61577
-50	47	-61	44	11.4018

